,Código DANE,Municipio,Departamento,clasificacion,Recurso Natural,min agrupado,Año Liquidado,Periodo,Regalías causadas,Índice,year,regalias_causadas_pc,indice_2024
122,5591,Puerto Triunfo,Antioquia,Otro Mineral No Metalico (Ton),CALIZAS,Calizas (Ton),2012,2012,3171059.53,78.05,2012,5905248.221893863,53.69900486559081
123,5604,Remedios,Antioquia,Metales Preciosos (Gr),ORO,Oro (Gr),2012,2012,2555116811.69,78.05,2012,4758220041.66648,53.69900486559081
124,5604,Remedios,Antioquia,Metales Preciosos (Gr),PLATA,Plata (Gr),2012,2012,32118460.67,78.05,2012,59812022.1229292,53.69900486559081
125,5604,Remedios,Antioquia,Otro Mineral No Metalico (Ton),CALIZAS,Calizas (Ton),2012,2012,58157.0,78.05,2012,108301.8207610506,53.69900486559081
126,5607,Retiro,Antioquia,Metales Preciosos (Gr),ORO,Oro (Gr),2012,2012,1090880.88,78.05,2012,2031473.1767012938,53.69900486559081
127,5607,Retiro,Antioquia,Metales Preciosos (Gr),PLATA,Plata (Gr),2012,2012,4966.27,78.05,2012,9248.346431057016,53.69900486559081
128,5607,Retiro,Antioquia,Otro Mineral No Metalico (Ton),FELDESPATOS,Otros Min no Met (Ton),2012,2012,1323796.0,78.05,2012,2465215.143769379,53.69900486559081
129,5615,Rionegro - Antioquia,Antioquia,Otro Mineral No Metalico (Ton),ARCILLAS CERAMICAS,Arcillas (Ton),2012,2012,711397.0,78.05,2012,1324786.1888327994,53.69900486559081
130,5628,Sabanalarga - Antioquia,Antioquia,Metales Preciosos (Gr),ORO,Oro (Gr),2012,2012,4166462.06,78.05,2012,7758918.569215016,53.69900486559081
131,5628,Sabanalarga - Antioquia,Antioquia,Metales Preciosos (Gr),PLATA,Plata (Gr),2012,2012,18609.67,78.05,2012,34655.5211713517,53.69900486559081
132,5649,San Carlos - Antioquia,Antioquia,Materiales Construcción (M3),ARENA DE RIO,Arenas (M3),2012,2012,24576.68,78.05,2012,45767.47755664318,53.69900486559081
